Step,Epoch,Value,,All,PSNR 35.469,SSIM 0.977,"Channels: 240, 152, 88"
402072,263,36.03903961,,,,,
403595,264,36.03243256,,,,,
405118,265,36.0319252,,,,,
406641,266,36.01960373,,,,,
408164,267,36.01861572,,,,,
409687,268,36.03193283,,,,,
411210,269,36.03715897,,,,,
412733,270,36.01529312,,,,,
414256,271,36.03977966,,,,,
415779,272,36.02677536,,,,,
417302,273,36.03026962,,,,,
418825,274,36.04037857,,,,,
420348,275,36.03813553,,,,,
421871,276,36.03501892,,,,,
423394,277,36.04487228,,,,,
424917,278,36.03954315,,,,,
